"MarketName":"BTC-FCT","High":0.00456764,"Low":0.00414000,"Volume":56824.95068315,"Last":0.00439164,"BaseVolume":245.95475666,"TimeStamp":"2017-08-17T05:27:25.82","Bid":0.00439164,"Ask":0.00439165,"OpenBuyOrders":287,"OpenSellOrders":2425,"PrevDay":0.00436959,"Created":"2016-01-09T03:47:07.803"
"MarketName":"BTC-FLDC","High":0.00000316,"Low":0.00000272,"Volume":1642347.43021614,"Last":0.00000279,"BaseVolume":4.81320692,"TimeStamp":"2017-08-17T05:28:43.713","Bid":0.00000279,"Ask":0.00000283,"OpenBuyOrders":213,"OpenSellOrders":2491,"PrevDay":0.00000301,"Created":"2015-02-23T23:01:53.92"
"MarketName":"BTC-FLO","High":0.00001582,"Low":0.00001056,"Volume":1933480.15732352,"Last":0.00001102,"BaseVolume":24.11341196,"TimeStamp":"2017-08-17T05:25:44.673","Bid":0.00001095,"Ask":0.00001100,"OpenBuyOrders":126,"OpenSellOrders":1465,"PrevDay":0.00001172,"Created":"2015-03-11T05:43:30.193"
"MarketName":"BTC-FTC","High":0.00001430,"Low":0.00001170,"Volume":953267.71794486,"Last":0.00001191,"BaseVolume":12.30148650,"TimeStamp":"2017-08-17T05:27:37.35","Bid":0.00001192,"Ask":0.00001216,"OpenBuyOrders":548,"OpenSellOrders":4439,"PrevDay":0.00001301,"Created":"2014-02-13T00:00:00"
"MarketName":"BTC-FUN","High":0.00000680,"Low":0.00000566,"Volume":28647359.94794708,"Last":0.00000585,"BaseVolume":175.42783354,"TimeStamp":"2017-08-17T05:29:05.78","Bid":0.00000580,"Ask":0.00000585,"OpenBuyOrders":343,"OpenSellOrders":2441,"PrevDay":0.00000630,"Created":"2017-07-04T18:45:47.13"
"MarketName":"BTC-GAM","High":0.00212400,"Low":0.00157497,"Volume":8347.29945143,"Last":0.00167595,"BaseVolume":15.13185084,"TimeStamp":"2017-08-17T05:29:00.53","Bid":0.00167595,"Ask":0.00168372,"OpenBuyOrders":206,"OpenSellOrders":462,"PrevDay":0.00168822,"Created":"2015-05-05T22:38:44.963"
"MarketName":"BTC-GAME","High":0.00054317,"Low":0.00045777,"Volume":390059.14824511,"Last":0.00046800,"BaseVolume":193.49240080,"TimeStamp":"2017-08-17T05:29:13.907","Bid":0.00046284,"Ask":0.00046792,"OpenBuyOrders":241,"OpenSellOrders":3218,"PrevDay":0.00052000,"Created":"2015-04-08T04:09:53.013"
"MarketName":"BTC-GBG","High":0.00002261,"Low":0.00002101,"Volume":111936.05557735,"Last":0.00002204,"BaseVolume":2.42828778,"TimeStamp":"2017-08-17T05:29:06.233","Bid":0.00002160,"Ask":0.00002199,"OpenBuyOrders":66,"OpenSellOrders":2179,"PrevDay":0.00002221,"Created":"2017-02-12T00:38:21.023"
"MarketName":"BTC-GBYTE","High":0.10399998,"Low":0.08200000,"Volume":5202.44558836,"Last":0.09217914,"BaseVolume":483.44466036,"TimeStamp":"2017-08-17T05:29:14.64","Bid":0.09011697,"Ask":0.09216873,"OpenBuyOrders":450,"OpenSellOrders":3285,"PrevDay":0.08669999,"Created":"2017-04-13T20:46:39.83"
"MarketName":"BTC-GCR","High":0.00001162,"Low":0.00001044,"Volume":233107.53367056,"Last":0.00001060,"BaseVolume":2.55225654,"TimeStamp":"2017-08-17T05:25:19.597","Bid":0.00001059,"Ask":0.00001060,"OpenBuyOrders":114,"OpenSellOrders":2611,"PrevDay":0.00001103,"Created":"2015-08-24T00:25:28.933"
"MarketName":"BTC-GEO","High":0.00019099,"Low":0.00017002,"Volume":52297.31071096,"Last":0.00017311,"BaseVolume":9.36828874,"TimeStamp":"2017-08-17T05:29:15.75","Bid":0.00017330,"Ask":0.00018081,"OpenBuyOrders":170,"OpenSellOrders":1190,"PrevDay":0.00019681,"Created":"2015-02-21T03:29:43.267"
"MarketName":"BTC-GLD","High":0.00003000,"Low":0.00002552,"Volume":340361.45457094,"Last":0.00002610,"BaseVolume":9.26322386,"TimeStamp":"2017-08-17T05:28:49.48","Bid":0.00002600,"Ask":0.00002610,"OpenBuyOrders":185,"OpenSellOrders":1361,"PrevDay":0.00002790,"Created":"2014-03-22T16:00:00"
"MarketName":"BTC-GNO","High":0.04502546,"Low":0.04041960,"Volume":604.27295457,"Last":0.04358635,"BaseVolume":26.07724711,"TimeStamp":"2017-08-17T05:29:13.437","Bid":0.04203750,"Ask":0.04358062,"OpenBuyOrders":115,"OpenSellOrders":846,"PrevDay":0.04459999,"Created":"2017-04-28T02:43:12"
"MarketName":"BTC-GNT","High":0.00006741,"Low":0.00005829,"Volume":4507787.63403441,"Last":0.00006018,"BaseVolume":282.31950014,"TimeStamp":"2017-08-17T05:29:07.813","Bid":0.00006018,"Ask":0.00006024,"OpenBuyOrders":313,"OpenSellOrders":6380,"PrevDay":0.00006637,"Created":"2017-04-17T21:35:59.26"
